match_id,coach_id,team
28775,260,Canterbury Bankstown Bulldogs
28776,239,Penrith Panthers
28776,211,Parramatta Eels
28777,16571,Brisbane Broncos
28777,1822,South Sydney Rabbitohs
28778,260,Canterbury Bankstown Bulldogs
28778,508,Wests Tigers
28779,902,Melbourne Storm
28779,215,Canberra Raiders
28780,211,Parramatta Eels
28780,5544,North Queensland Cowboys
28781,1155,Warriors
28781,469,Gold Coast Titans
28782,6075,Newcastle Knights
28782,1202,Cronulla Sutherland Sharks
28783,2924,Sydney Roosters
28783,239,Penrith Panthers
28784,3083,St George Illawarra Dragons
28784,505,Manly Warringah Sea Eagles
28785,1822,South Sydney Rabbitohs
28785,5544,North Queensland Cowboys
28786,508,Wests Tigers
28786,1202,Cronulla Sutherland Sharks
28787,1155,Warriors
28787,260,Canterbury Bankstown Bulldogs
28788,211,Parramatta Eels
28788,16571,Brisbane Broncos
28789,215,Canberra Raiders
28789,6075,Newcastle Knights
28790,469,Gold Coast Titans
28790,3083,St George Illawarra Dragons
28791,239,Penrith Panthers
28791,902,Melbourne Storm
28792,505,Manly Warringah Sea Eagles
28792,2924,Sydney Roosters
28793,16571,Brisbane Broncos
28793,469,Gold Coast Titans
28794,1822,South Sydney Rabbitohs
28794,508,Wests Tigers
28795,3083,St George Illawarra Dragons
28795,211,Parramatta Eels
28797,5544,North Queensland Cowboys
28797,2924,Sydney Roosters
28796,239,Penrith Panthers
28796,1155,Warriors
28798,1202,Cronulla Sutherland Sharks
28798,215,Canberra Raiders
28799,6075,Newcastle Knights
28799,260,Canterbury Bankstown Bulldogs
28800,902,Melbourne Storm
28800,505,Manly Warringah Sea Eagles
28802,260,Canterbury Bankstown Bulldogs
28802,16571,Brisbane Broncos
28801,508,Wests Tigers
28801,5544,North Queensland Cowboys
28803,3083,St George Illawarra Dragons
28803,239,Penrith Panthers
28805,505,Manly Warringah Sea Eagles
28805,215,Canberra Raiders
28804,2924,Sydney Roosters
28804,902,Melbourne Storm
28806,1155,Warriors
28806,6075,Newcastle Knights
28807,211,Parramatta Eels
28807,469,Gold Coast Titans
28808,1202,Cronulla Sutherland Sharks
28808,1822,South Sydney Rabbitohs
28809,260,Canterbury Bankstown Bulldogs
28809,3083,St George Illawarra Dragons
28810,1822,South Sydney Rabbitohs
28810,6075,Newcastle Knights
28811,469,Gold Coast Titans
28811,5544,North Queensland Cowboys
28812,16571,Brisbane Broncos
28812,1155,Warriors
28813,211,Parramatta Eels
28813,2924,Sydney Roosters
28814,6075,Newcastle Knights
28814,3083,St George Illawarra Dragons
28815,5544,North Queensland Cowboys
28815,260,Canterbury Bankstown Bulldogs
28816,1155,Warriors
28816,505,Manly Warringah Sea Eagles
28817,239,Penrith Panthers
28817,508,Wests Tigers
28818,902,Melbourne Storm
28818,1202,Cronulla Sutherland Sharks
28819,215,Canberra Raiders
28819,16571,Brisbane Broncos
28821,505,Manly Warringah Sea Eagles
28821,260,Canterbury Bankstown Bulldogs
28820,3083,St George Illawarra Dragons
28820,5544,North Queensland Cowboys
28822,215,Canberra Raiders
28822,239,Penrith Panthers
28823,1202,Cronulla Sutherland Sharks
28823,211,Parramatta Eels
28824,1822,South Sydney Rabbitohs
28824,469,Gold Coast Titans
28825,902,Melbourne Storm
28825,6075,Newcastle Knights
28826,2924,Sydney Roosters
28826,1155,Warriors
28827,16571,Brisbane Broncos
28827,508,Wests Tigers
28828,260,Canterbury Bankstown Bulldogs
28828,2924,Sydney Roosters
28829,508,Wests Tigers
28829,215,Canberra Raiders
28830,211,Parramatta Eels
28830,1822,South Sydney Rabbitohs
28831,469,Gold Coast Titans
28831,902,Melbourne Storm
28832,1822,South Sydney Rabbitohs
28832,215,Canberra Raiders
28833,508,Wests Tigers
28833,902,Melbourne Storm
28834,239,Penrith Panthers
28834,3083,St George Illawarra Dragons
28835,6075,Newcastle Knights
28835,469,Gold Coast Titans
28836,1155,Warriors
28836,16571,Brisbane Broncos
28837,5544,North Queensland Cowboys
28837,1202,Cronulla Sutherland Sharks
28838,2924,Sydney Roosters
28838,505,Manly Warringah Sea Eagles
28840,1202,Cronulla Sutherland Sharks
28840,508,Wests Tigers
28839,902,Melbourne Storm
28839,16571,Brisbane Broncos
28841,3083,St George Illawarra Dragons
28841,2924,Sydney Roosters
28842,469,Gold Coast Titans
28842,239,Penrith Panthers
28843,215,Canberra Raiders
28843,5544,North Queensland Cowboys
28844,260,Canterbury Bankstown Bulldogs
28844,6075,Newcastle Knights
28845,1822,South Sydney Rabbitohs
28845,1155,Warriors
28846,505,Manly Warringah Sea Eagles
28846,211,Parramatta Eels
28847,16571,Brisbane Broncos
28847,1202,Cronulla Sutherland Sharks
28848,211,Parramatta Eels
28848,239,Penrith Panthers
28849,260,Canterbury Bankstown Bulldogs
28849,902,Melbourne Storm
28850,5544,North Queensland Cowboys
28850,505,Manly Warringah Sea Eagles
28851,508,Wests Tigers
28851,1155,Warriors
28852,215,Canberra Raiders
28852,211,Parramatta Eels
28853,2924,Sydney Roosters
28853,1202,Cronulla Sutherland Sharks
28854,239,Penrith Panthers
28854,6075,Newcastle Knights
28855,505,Manly Warringah Sea Eagles
28855,469,Gold Coast Titans
28856,1822,South Sydney Rabbitohs
28856,3083,St George Illawarra Dragons
28858,260,Canterbury Bankstown Bulldogs
28858,211,Parramatta Eels
28857,5544,North Queensland Cowboys
28857,16571,Brisbane Broncos
28859,3083,St George Illawarra Dragons
28859,215,Canberra Raiders
28860,469,Gold Coast Titans
28860,1822,South Sydney Rabbitohs
28861,1155,Warriors
28861,902,Melbourne Storm
28862,1202,Cronulla Sutherland Sharks
28862,239,Penrith Panthers
28863,6075,Newcastle Knights
28863,2924,Sydney Roosters
28864,508,Wests Tigers
28864,505,Manly Warringah Sea Eagles
28869,6075,Newcastle Knights
28869,16571,Brisbane Broncos
28871,239,Penrith Panthers
28871,2924,Sydney Roosters
28866,1155,Warriors
28866,1202,Cronulla Sutherland Sharks
28865,211,Parramatta Eels
28865,505,Manly Warringah Sea Eagles
28872,5544,North Queensland Cowboys
28872,1822,South Sydney Rabbitohs
28867,215,Canberra Raiders
28867,902,Melbourne Storm
28868,469,Gold Coast Titans
28868,508,Wests Tigers
28870,3083,St George Illawarra Dragons
28870,260,Canterbury Bankstown Bulldogs
28875,902,Melbourne Storm
28875,1822,South Sydney Rabbitohs
28878,211,Parramatta Eels
28878,508,Wests Tigers
28879,2924,Sydney Roosters
28879,215,Canberra Raiders
28874,1202,Cronulla Sutherland Sharks
28874,6075,Newcastle Knights
28876,505,Manly Warringah Sea Eagles
28876,1155,Warriors
28873,16571,Brisbane Broncos
28873,3083,St George Illawarra Dragons
28877,239,Penrith Panthers
28877,5544,North Queensland Cowboys
28880,260,Canterbury Bankstown Bulldogs
28880,469,Gold Coast Titans
28883,16571,Brisbane Broncos
28883,211,Parramatta Eels
28884,1822,South Sydney Rabbitohs
28884,505,Manly Warringah Sea Eagles
28887,215,Canberra Raiders
28887,260,Canterbury Bankstown Bulldogs
28885,5544,North Queensland Cowboys
28885,469,Gold Coast Titans
28886,3083,St George Illawarra Dragons
28886,1202,Cronulla Sutherland Sharks
28881,1155,Warriors
28881,239,Penrith Panthers
28882,6075,Newcastle Knights
28882,902,Melbourne Storm
28888,508,Wests Tigers
28888,2924,Sydney Roosters
28889,239,Penrith Panthers
28889,16571,Brisbane Broncos
28891,1822,South Sydney Rabbitohs
28891,260,Canterbury Bankstown Bulldogs
28894,3083,St George Illawarra Dragons
