,player_id,player_name_comma,player_birthday,total_matches,total_points
0,1420,"BARNETT, Richie",1971-04-21,118,184
0,11507,"BARNETT, Roy",-,1,-
0,531,"BARNHILL, David",1969-06-08,210,32
0,11508,"BARR, George",1917-04-06,3,-
0,3995,"BARR, Peter",-,4,3
0,9465,"BARRATT, John",1904-04-08,13,3
0,10290,"BARRETT, Alf",-,20,9
0,10646,"BARRETT, Bob",-,34,112
0,5129,"BARRETT, David",-,7,-
0,5109,"BARRETT, Scott",-,1,-
0,2683,"BARRETT, Shane",-,2,4
0,806,"BARRETT, Trent",1977-11-18,235,338
0,11510,"BARRY, Alan",-,4,-
0,9423,"BARRY, John",1908-09-28,14,3
0,9664,"BARRY, Pat",-,12,6
0,9181,"BARRY, Tom",1899-03-20,35,36
0,11509,"BARRY, Tom",1903-07-29,53,44
0,10634,"BARSLEY, Dave",1939-10-03,174,557
0,1920,"BARSLEY, Jason",1978-03-10,4,8
0,11512,"BARTLETT, Bruce",-,3,-
0,9869,"BARTLETT, Doug",1914-10-15,39,98
0,3,"BARTLETT, George",1968-10-24,54,16
0,3726,"BARTLETT, Matthew",1983-11-03,22,12
0,4270,"BARTLETT, Russell",-,5,4
0,11514,"BARTLEY, Arthur",-,4,-
0,23017,"BARTLEY, Frank",1905-09-10,1,-
0,11517,"BARTLEY, Fred",1895-10-30,2,-
0,11515,"BARTLEY, Harry",1906-01-05,6,-
0,11516,"BARTLEY, Jack",1884-07-21,19,-
0,1846,"BARTOLO, Joe",1969-11-06,56,68
0,2570,"BARTON, Len",-,8,-
0,534,"BARTRIM, Wayne",1971-10-09,232,"1,158"
0,11518,"BARWICK, Doug",1928-07-19,10,-
0,190,"BARWICK, Greg",1968-06-05,72,196
0,11519,"BASHAM, Mick",-,1,-
0,11520,"BASSETT, Joe",-,6,-
0,11521,"BASSETTI, John",1903-10-09,5,-
0,11522,"BASSINGTHWAIGHTE, Ross",1918-07-12,15,-
0,9079,"BATCHELOR, Robert",1891-05-28,13,6
0,1818,"BATEMAN, Allan",1965-03-06,33,24
0,17077,"BATEMAN, John",1993-09-30,66+,40
0,7817,"BATEMAN, Josh",1986-09-25,2,-
0,11524,"BATEMAN, Leslie",1888-02-07,1,-
0,21469,"BATEMAN, Luke",1995-01-23,71,4
0,11523,"BATES, Alick",1892-12-17,19,-
0,9854,"BATES, Jack",1916-02-18,11,12
0,3262,"BATES, Todd",1983-03-02,4,4
0,8190,"BATH, Harry",1924-11-28,90,543
0,10106,"BATHGATE, Eric",1921-11-02,23,16
0,11525,"BATTERSBY, James",1904-04-29,4,-
0,4171,"BATTESE, Brian",1961-03-25,90,20
0,10513,"BATTY, Allan",1931-09-25,25,34
0,10618,"BATTY, Bob",1939-10-01,198,"1,154"
0,11134,"BATTY, Ken",-,28,12
0,7478,"BATTYE, Ron",-,17,12
0,5260,"BAUMGART, Peter",1969-06-14,1,-
0,9061,"BAWDEN, Harold",1893-12-02,11,6
0,1259,"BAWDEN, Russell",1973-07-24,103,92
0,10981,"BAWDEN, Terry",-,28,156
0,11527,"BAXTER, Bob",-,12,-
0,10454,"BAXTER, Jack",-,12,3
0,11200,"BAYLY, Doug",-,29,18
0,2699,"BAYSSARI, David",1970-06-15,93,126
0,13877,"BEALE, Gerard",1990-07-18,204,208
0,9526,"BEAMAN, George",1912-04-17,4,12
0,11528,"BEAMES, Graham",-,2,3
0,11529,"BEARDMORE, Arthur",1894-10-11,6,-
0,4312,"BEARDMORE, Kevin",1960-06-21,3,-
0,10282,"BEARDSMORE, Keith",-,7,3
0,4348,"BEASLEY, Luke",1965-08-20,12,-
0,6013,"BEATH, Barry",1944-01-01,198,183
0,2559,"BEATH, Paul",1968-01-17,7,4
0,10362,"BEATH, Reg",1928-10-02,22,37
0,13451,"BEATH, Rex",-,1,-
0,5823,"BEATON, Jack",1914-02-12,38,178
