year,match_no,date,time,time_24hr,match_id,venue_id,crowd,pom_id,home_team,home_team_ht_score,home_team_score,home_team_penalties,away_team,away_team_ht_score,away_team_score,away_team_penalties
2006,3,2006-07-05,8:00 PM,20:00:00,4025,30,54833,108,Blues,4,14,4,Maroons,4,16,4
2007,1,2007-05-23,8:00 PM,20:00:00,7986,1097,52498,125,Maroons,6,25,6,Blues,18,18,5
2007,2,2007-06-13,8:00 PM,20:00:00,7987,20,76924,742,Blues,6,6,4,Maroons,6,10,1
2007,3,2007-07-04,8:00 PM,20:00:00,7988,1097,52469,303,Maroons,4,4,7,Blues,6,18,7
2008,1,2008-05-21,8:00 PM,20:00:00,15004,20,67620,303,Blues,14,18,3,Maroons,4,10,3
2008,2,2008-06-11,8:00 PM,20:00:00,15005,1097,52416,1379,Maroons,16,30,9,Blues,0,0,7
2008,3,2008-07-02,8:00 PM,20:00:00,15006,20,78751,5542,Blues,10,10,5,Maroons,8,16,5
2009,1,2009-06-03,8:00 PM,20:00:00,15762,30,50967,125,Maroons,18,28,4,Blues,6,18,5
2009,2,2009-06-24,8:00 PM,20:00:00,15955,20,80459,122,Blues,10,14,2,Maroons,18,24,4
2009,3,2009-07-15,8:00 PM,20:00:00,15956,1097,52439,828,Maroons,6,16,8,Blues,14,28,4
2010,1,2010-05-26,8:00 PM,20:00:00,20061,20,68753,125,Blues,8,24,4,Maroons,12,28,4
2010,2,2010-06-16,8:00 PM,20:00:00,20062,1097,52452,111,Maroons,16,34,8,Blues,0,6,3
2010,3,2010-07-07,8:00 PM,20:00:00,20063,20,61259,735,Blues,6,18,7,Maroons,13,23,5
2011,1,2011-05-25,8:00 PM,20:00:00,21586,1097,52144,742,Maroons,6,16,2,Blues,0,12,1
2011,2,2011-06-15,8:00 PM,20:00:00,21587,20,81965,299,Blues,6,18,5,Maroons,8,8,4
2011,3,2011-07-06,8:00 PM,20:00:00,21588,1097,52498,742,Maroons,24,34,3,Blues,10,24,5
2012,1,2012-05-23,8:00 PM,20:00:00,28127,30,56021,153,Blues,4,10,4,Maroons,12,18,3
2012,2,2012-06-13,8:00 PM,20:00:00,28137,20,83110,303,Blues,4,16,4,Maroons,6,12,4
2012,3,2012-07-04,8:00 PM,20:00:00,28185,1097,52437,125,Maroons,16,21,6,Blues,8,20,4
2013,1,2013-06-05,8:00 PM,20:00:00,28914,20,80380,324,Blues,14,14,7,Maroons,0,6,5
2013,2,2013-06-26,8:00 PM,20:00:00,28915,1097,51690,742,Maroons,14,26,8,Blues,0,6,5
2013,3,2013-07-17,8:00 PM,20:00:00,28916,20,83813,108,Blues,4,10,8,Maroons,8,12,4
2014,1,2014-05-28,8:00 PM,20:00:00,29003,1097,52111,3709,Maroons,4,8,7,Blues,10,12,4
2014,2,2014-06-18,8:00 PM,20:00:00,29004,20,83421,299,Blues,0,6,9,Maroons,4,4,5
2014,3,2014-07-09,8:15 PM,20:15:00,29005,1097,50155,116,Maroons,6,32,10,Blues,2,8,5
2015,1,2015-05-27,8:00 PM,20:00:00,30682,20,80122,742,Blues,10,10,6,Maroons,6,11,7
2015,2,2015-06-17,8:00 PM,20:00:00,30694,37,91513,5563,Maroons,10,18,7,Blues,14,26,6
2015,3,2015-07-08,8:15 PM,20:15:00,30705,1097,52500,125,Maroons,22,52,12,Blues,2,6,5
2016,1,2016-06-01,8:30 PM,20:30:00,31070,20,80251,14502,Blues,4,4,4,Maroons,6,6,4
2016,2,2016-06-22,8:05 PM,20:05:00,31090,1097,52293,742,Maroons,10,26,7,Blues,4,16,5
2016,3,2016-07-13,8:18 PM,20:18:00,31151,20,61267,13818,Blues,6,18,12,Maroons,4,14,3
2017,1,2017-05-31,8:15 PM,20:15:00,36095,1097,50390,14510,Maroons,4,4,3,Blues,12,28,3
2017,2,2017-06-21,8:15 PM,20:15:00,36096,20,82259,19956,Blues,16,16,4,Maroons,6,18,6
2017,3,2017-07-12,8:15 PM,20:15:00,36097,1097,52540,742,Maroons,12,22,4,Blues,0,6,5
