,player_id,player_name_comma,player_birthday,total_matches,total_points
0,1691,"KAUFUSI, Antonio",1984-11-27,1,-
0,21472,"KAUFUSI, Felise",1992-05-19,16+,8
0,414,"KEARNS, Robbie",1971-12-12,8,-
0,20149,"KEARY, Luke",1992-02-03,1+,-
0,1546,"KELLAWAY, Bob",1955-11-24,2,-
0,12815,"KELLY, Peter",1959-09-07,2,-
0,1291,"KELLY, Stuart",1976-02-04,3,-
0,829,"KENNEDY, Ben",1974-03-14,13,4
0,1113,"KENNY, Brett",1961-03-16,17,8
0,1532,"KHAN, Paul",1953-05-23,4,-
0,890,"KILROY, Joe",1960-06-21,2,4
0,293,"KIMMORLEY, Brett",1976-09-15,10,-
0,827,"KING, Jason",1981-03-21,2,-
0,738,"KING, Matt",1980-08-22,9,24
0,1095,"KISS, Les",1964-12-09,4,12
0,825,"KITE, Brent",1981-03-07,10,-
0,20223,"KLEMMER, David",1993-12-22,14,-
0,29829,"KOLOAMATANGI, Keaon",1998-05-23,1,-
0,20150,"KOROISAU, Apisai",1992-11-07,4,8
0,265,"KOSEF, Nik",1974-06-06,8,4
0,1549,"KRILICH, Max",1949-10-25,5,-
0,316,"LAFFRANCHI, Anthony",1980-11-16,4,4
0,179,"LAM, Adrian",1970-08-25,14,16
0,97,"LAMB, Terry",1961-09-15,7,-
0,1510,"LANG, John",1950-11-07,1,-
0,1316,"LANG, Martin",1975-09-26,8,-
0,227,"LANGER, Allan",1966-07-30,34,41
0,549,"LANGMACK, Paul",1965-05-10,4,-
0,247,"LARSON, Gary",1967-01-02,24,-
0,228,"LAZARUS, Glenn",1965-12-11,19,8
0,1912,"LEAROYD-LAHRS, Tom",1985-09-13,4,-
0,20838,"LEE, Brenko",1995-10-10,1,-
0,19781,"LEE, Edrick",1992-09-18,1,4
0,1521,"LEIS, Jim",1959-10-10,1,-
0,28815,"LENIU, Spencer",2000-09-08,2+,-
0,324,"LEWIS, Luke",1983-08-11,17,4
0,892,"LEWIS, Wally",1959-12-01,31,30
0,1906,"LILLYMAN, Jacob",1984-03-07,14,-
0,1001,"LINDNER, Bob",1962-11-10,25,28
0,111,"LOCKYER, Darren",1977-03-24,36,82
0,26152,"LOMAX, Zac",1999-09-24,2+,22
0,20528,"LOWE, Ethan",1991-03-20,1,8
0,24106,"LUAI, Jarome",1997-01-16,9+,8
0,14525,"LUI, Dunamis",1990-02-16,1,-
0,1635,"LYON, Jamie",1982-01-24,10,20
0,259,"LYONS, Cliff",1961-10-19,6,4
0,1183,"LYONS, Graham",1969-06-28,3,-
0,519,"MACKAY, Brad",1969-02-07,17,12
0,174,"MACKAY, Graham",1968-10-12,4,2
0,13818,"MALONEY, James",1986-06-15,14,70
0,13577,"MANNAH, Tim",1988-02-15,4,-
0,16868,"MANSOUR, Josh",1990-06-17,3,-
0,770,"MARSH, PJ",1980-02-19,4,-
